"관광타입","음식점"
"음식점명","서귀포대정식당"
"개요","20년 동안 대정분식이란 상호로 장사를 하면서 손님들에게 정으로 다가가는 식당으로 자리매김 하다, 2015년 서귀포대정식당이라는 상호로 새롭게 시작을 하게 되었습니다. 항상 고객에게 정직한 맛으로 보답하면서, 돈을 벌기 보다는 맛있게 드시기를 바라는 마음으로 장사를 하고 있습니다. 저희 가게는 주 메뉴가 김치찌개와 오뎅 김치찌개, 이 둘을 섞어서 반반찌개와 고기국수를 20년 동안 만들어 왔으며, 새로운 메뉴로 조림과 돔베고기, 제육볶음을 새로운 메뉴로 구성했습니다. 항상 맛과 정성을 먼저 생각하면서 고객들에게 보답하는 식당이 되겠습니다. 일호광장 서귀포약국과 제주은행 사이에 골목으로 100m 정도 오시면 사거리 모퉁이에 있습니다. 광하탕 옆 사거리 건물입니다. 누리바로, 천보식당이 인접해 있습니다. "
"주소","제주 서귀포시 중앙로89번길 17"
"주소(도로명)","제주특별자치도 서귀포시 중앙로89번길 17"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 303-18"
"대표번호","064-733-8218"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","찌개류, 우럭조림"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 재료가 신선해요, 특별한 메뉴가 있어요"
