"관광타입","음식점"
"음식점명","돈하 "
"개요","돼지와 새우의 만남 돈하입니다. 누룩소금을 발라 저온숙성시킨 제주흑돼지등심으로 만든 돈까스와 과일을 갈아 만든 소스의 맛있는 궁합, 직접 담근 새우장을 올린 덮밥, 건강하고 맛있는 식사하세요. 매일 올레시장 공영주차장에서 5분 거리에 있습니다. 뽈살집에서 한라산 방향으로 100m 걸어 오시면 됩니다. 신혼듸모영, 윤경미용실이 인접해 있습니다. "
"주소","제주 서귀포시 중정로91번길 51-1 돈하"
"주소(도로명)","제주특별자치도 서귀포시 중정로91번길 51"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 288-20"
"대표번호","0507-1352-4934"
"영업시간","11:00 - 20:30"
"휴무일","매주 목요일 "
"취급메뉴","제주흑돈 돈세트, 제주흑돈 제육덮밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 양이 많아요"
