"관광타입","음식점"
"음식점명","꼼닭발"
"개요","꼼닭발 꼼꼼한 닭발집, 꼼닭발은 주문 접수와 동시에 조리를 시작합니다. 주문과 동시에 조리가 시작되어 다소 시간이 걸리더라도 기다리는 시간이 아깝지 않도록 맛 만큼은 고객님들의 절대적인 지지를 받고 있는 최고의 야식임을 자부합니다. 최상의 식재료를 가지고 사장님이 직접 총 4가지 소스를 다 만들고 있습니다. 닭발전문점이 제공하는 숯불 닭발의 맛의 차이를 느껴보시길 바랍니다. 서귀포 나이키점, 삼일아트리움 인근에 위치해 있습니다. "
"주소","제주 서귀포시 명동로 28 꼼닭발"
"주소(도로명)","제주특별자치도 서귀포시 명동로 28"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 413-6"
"대표번호","064-733-9944"
"영업시간","17:30-00:30/01:30"
"휴무일","매주 일요일 "
"취급메뉴","뼈없는 닭발, 뼈있는 닭발"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 가성비가 좋아요, 매장이 청결해요"
