"관광타입","음식점"
"음식점명","황금어장 "
"개요","황금어장이라는 이름처럼 금가루를 뿌린 활어회가 인기인 100프로 자연산 활어회 포장 전문 횟집입니다. 제주도에 여행 와서 펜션 등 숙소에서 회를 즐기려는 손님들이 많이 찾는 곳인데요. 예약을 하면 더욱 편리하다고 합니다. 자연산 활어회에는 오이, 레몬, 꽃과 금가루로 데코레이션을 해 주기 때문에 더욱 인기 있지요. 양념을 헹궈낸 묵은지와 매운탕거리도 함께 포장해주어 야채만 구입하면 바로 매운탕도 끓여 먹을 수 있으며, 매운탕 양념 맛으로도 유명합니다. 고려주단, 드림회센터가 인접해 있습니다. "
"주소","제주 서귀포시 중앙로48번길 14 올래시장 190호"
"주소(도로명)","제주특별자치도 서귀포시 중앙로48번길 14"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 275-12"
"대표번호","064-763-4418"
"영업시간","10:00 - 22:30"
"휴무일","없음"
"취급메뉴","광어.우럭포장, 돌광어"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 매장이 넓어요"
