"관광타입","음식점"
"음식점명","중섭이네식당"
"개요","제주도 문어 요리 전문식당으로서 싱싱한 생물 해산물로 조리되어 시원하고 칼칼한 문어해물라면과 돌문어덮밥, 제주산 갈치조림, 한치물회, 아보카도 덮밥과 흑돼지간장덮밥 등 남녀노소 모두 좋아하는 퓨전 덮밥 요리들을 맛볼 수 있습니다. 이중섭 미술관 옆 쪽에 위치해 있습니다. 점심시간 11시30분 부터 1시30분까지 가게 앞 주차가능합니다. 주차는 미술관,근처 무료주차장 이용 바랍니다. 베롱베롱, 제주감성소품이 인접해 있습니다. "
"주소","제주 서귀포시 이중섭로 19"
"주소(도로명)","제주특별자치도 서귀포시 이중섭로 19"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 528-5"
"대표번호","0507-1319-7703"
"영업시간","09:00 - 16:00"
"휴무일","매주 월요일 "
"취급메뉴","아보카도 명란덮밥, 문어 해물라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 특별한 메뉴가 있어요"
