"관광타입","음식점"
"음식점명","명가솥뚜껑 "
"개요","엄선된 흑돼지와 돼지고기에 손수 만든 반찬들로 정성을 다하고 있는 명가솥뚜껑 입니다. 솥뚜껑에 고사리, 돼지껍데기, 두루치기를 함께 구워 먹는게 우리집만의 맛이 있습니다. 매콤한 양념멜젓에 쌈 하나는 먹을줄 아는 사람에게 알려드리고 싶네요. 마무리로 된장찌개와 볶음밥은 필수아닌 필수죠. 언제나 손님에게 친절을 약속 드리겠습니다. 서귀동 267 6 중앙로 62번길 36 서귀포 올레시장 도보 3분거리, 가게 주차장 있습니다. 명가원룸, 중앙목욕탕이 인접해 있습니다. "
"주소","제주 서귀포시 중앙로62번길 36"
"주소(도로명)","제주특별자치도 서귀포시 중앙로62번길 36"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 267-6"
"대표번호","0507-1416-0844"
"영업시간","14:30 - 22:30"
"휴무일","격주 화요일 "
"취급메뉴","흑돼지 오겹살, 백돼지 오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 재료가 신선해요, 매장이 청결해요"
