"관광타입","음식점"
"음식점명","카페텐저린 "
"개요","가족, 연인, 친구 모두가 함께 즐거운 곳 제주도 법환동에 위치해 옥상에서는 한 쪽으론 범섬 바다가 한 쪽으로는 한라산이 보이고, 브런치 맛집으로 유명해진 곳입니다. 커피와 디저트 계절음료들도 인기가 많아요. 야외에는 잔디와 편안한 캠핑 의자가 있고 800평의 귤밭이 같이 어울어져 귤 철에는 귤을 딸 수도 있고 산책을 하실 수도 있어요. 봄,여름, 가을, 겨울 사계절 남녀노소 누가 오시더라도 행복한 시간과 사랑하는 사람들과 제주도에서 좋은 추억 만드세요. 법환초등학교 바로 맞은편 빨간벽돌 집이예요. 홉히워크룸이 인접해 있습니다. "
"주소","제주 서귀포시 이어도로 880"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 880"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 1298-3"
"대표번호","064-738-9767"
"영업시간","09:00 - 18:00"
"휴무일","전화문의 "
"취급메뉴","아메리카노, 아인슈페너"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 재료가 신선해요, 매장이 넓어요, 뷰가 좋아요"
