"관광타입","음식점"
"음식점명","다도"
"개요","다도, 신선한 전복을 바르고, 건강하고, 가치있게 요리하는 집입니다. 목, 금, 토, 일, 월, 화 9시부터 15까지 마지막 주문 14시30분 브레이크타임 없음 수요일 휴무 준비한 재료가 소진되면 조기마감 합니다. 키즈존 아기 의자와 아기 식기 있습니다. 반려동물 동반 가능. 단, 케이지 혹은 유모차 입구를 닫으셔야 매장 내 식사 가능하십니다. 예약 및 유선상 주문 받지 않습니다. 포장은 제외합니다. 식사는 매장 방문 후 결제 순서대로 준비해드립니다. 혼잡 방지를 위해 유선상 주문은 미리 받지 않습니다. 인원 수가 많은 단체일 경우 매장으로 전화주세요. 주차는 매장 건물 왼편 상가 앞 혹은 건물 뒷 편을 이용하시면 됩니다. 혹여나 주차장에 자리가 없으시다면 건물 앞 큰 길 대로 주차 하셔도 됩니다. 뿔소라몽땅이 인접해 있습니다. "
"주소","제주 서귀포시 이어도로 866-29"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 866-29"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 1556-2"
"대표번호","0507-1309-5969"
"영업시간","09:00 - 15:00"
"휴무일","매주 수요일 "
"취급메뉴","전복죽, 전복비빔밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 매장이 청결해요, 친절해요, 인테리어가 멋져요"
