"관광타입","음식점"
"음식점명","앙끄레국수 서귀포본점"
"개요","저희 앙끄레국수는 제주산 1등급 돼지고기만을 고집하고 있습니다. 제주산 돼지 사골을 12시간이상 푹 고와 정성을 다해 새벽부터 음식을 준비하여 맛, 서비스로 고객님의 기대에 부응하도록 노력하고 있습니다. 넓은 주차장, 넓은 홀, 아기의자 등등을 비치하여 가족여행객, 단체 고객님이 이용하셔도 불편함이 없습니다. 제주 전통의 고기국수와 비빔국수, 저희가게만 있는 전복고기국수, 전복비빔국수의 참맛을 느껴보십시오. 신 메뉴 보말국수,성게국수,성게국  출시 했습니다. 당일 영수증 지참시 세리월드 30프로 입장권 할인 혜택 있습니다. 서귀포 월드컵경기장 인근 세리월드 맞은편에 자리 잡고있습니다. 네비게이션에 앙끄레국수 또는 주소로 검색하시면 쉽게 찾을 수 있습니다. 미쎄스올리브가 인접해 있습니다. "
"주소","제주 서귀포시 법환상로2번길 97-18"
"주소(도로명)","제주특별자치도 서귀포시 법환상로2번길 97-18"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 876-1"
"대표번호","064-739-2999"
"영업시간","09:00 - 19:30"
"휴무일","격주, 넷째 수요일 "
"취급메뉴","수두리 보말국수, 성게국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 재료가 신선해요, 매장이 청결해요"
