"관광타입","음식점"
"음식점명","대우정 "
"개요","싱싱한 전복으로 만든 돌솥밥, 비빔양념과 마가린을 함께 비벼 먹는 전복 돌솥밥이 대표 메뉴 입니다. 자극적이지 않고, 깔끔하고 든든한 한끼 식사를 제공합니다. 최근 확장 오픈하며, 주방을 오픈 주방으로 마무리하여 언제든 요리하는 모습을 보실 수 있습니다. 깔끔한 매장 내부와 넓은 주차 공간으로 손님들에게 편의를 제공하겠습니다. 방문해 주셔서 감사합니다. 제주월드컵경기장 차로 5분 거리에 위치해 있습니다. "
"주소","제주 서귀포시 이어도로 866-37 대우정"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 866"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 1292-3"
"대표번호","064-733-0137"
"영업시간","09:00 - 21:00"
"휴무일","매주 목요일 "
"취급메뉴","전복돌솥밥, 전복해물뚝배기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 재료가 신선해요, 주차하기 편해요, 특별한 메뉴가 있어요"
