"관광타입","음식점"
"음식점명","월드컵흑돼지"
"개요","고품격 구이 문화의 선두주자 제주도월드컵흑돼지입니다. 구이가 정통삼겸살 전문점으로서 고기에 대한 끊임없는 연구를 통해 고기를 제대로 알고, 질 좋고 맛있는 삼겹살을 만들어 갑니다. 제대로 알고, 건강하게 먹는것이 정통으로 먹는 것이다. 고기 한 점을 먹더라도 제대로 먹자, 건강하게, 맛있게라는 모토로 운영하고 있습니다. 제주도 서귀포 월드컵 경기장 바로 아래에 위치해 있습니다. 대주에이치알, 제주다이브, 로젠택배가 인접해 있습니다."
"주소","제주 서귀포시 월드컵로 74"
"주소(도로명)","제주특별자치도 서귀포시 월드컵로 74"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 1581"
"대표번호","064-738-3292"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","흑돼지 오겹살, 제주산 오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 친절해요"
