"관광타입","음식점"
"음식점명","숲숲포레스트"
"개요","맥주, 소주, 와인, 하이볼까지 다양한 주류와 푸짐한 안주까지, 편안한 분위기의 숲숲포레스트에서 즐기세요. 숲숲포레스트는 도심 속 작은 숲이라는 컨셉으로 복잡한 도심을 떠나 여행을 오신 여행객분들과 바쁜 일상을 지내시다 휴식이 필요하신 도민 분들에게 작은 휴식이 될 수 있는 시간을 선물해드리고자 시작하게 되었습니다. 저희가 준비한 술과 음식, 그리고 음악을 통해 숲숲 포 레스트를 찾아주신 손님분들에게 소중한 시간을 선물해드리겠습니다. 서귀포월드컵경기장에서 2블록 정도 떨어진 곳 도보로 약 15분 거리에 있습니다. 낙원한우가 인접해 있습니다. "
"주소","제주 서귀포시 김정문화로41번길 14-6"
"주소(도로명)","제주특별자치도 서귀포시 김정문화로41번길 14-6"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 744-2"
"대표번호","064-739-9398"
"영업시간","17:00 - 24:00"
"휴무일","매주 화요일 "
"취급메뉴","감바스 알 하이오, 차돌숙주볶음"
"주차시설 유무","있음 "
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 술이 다양해요, 대화하기 좋아요"
