"관광타입","음식점"
"음식점명","제주등대아구찜 서귀포점"
"개요","안녕하세요. 제주등대아구찜 2호점을 서귀포점을 오픈하게 되었습니다. 아구, 문어 전복 등 제주산 생물을 사용하여 조리하고 있습니다. 정성을 드려 조리하여 드리오니 맛있게 드시고 가시면 좋겠습니다. 감사합니다. 등대 올림. 서귀포 제2청사 부근 한국전력 뒤편으로 근처에는 그렌마스가 있습니다. 주차장은 주변 공영주차장을 이용해 주시면 감사하겠습니다. 감사합니다. 문성상회가 인접해 있습니다. "
"주소","제주 서귀포시 신서로48번길 51-4 1층"
"주소(도로명)","제주특별자치도 서귀포시 신서로48번길 51-4"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 735-7"
"대표번호","064-900-9455"
"영업시간","11:00 - 22:00"
"휴무일","매주 화요일 "
"취급메뉴","해물찜, 아구찜"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 양이 많아요"
