"관광타입","음식점"
"음식점명","처갓집양념치킨 서귀포신시가지점"
"개요","1. 처갓집 양념치킨 서귀포 신시가지점은 제주에 도계장이 있어 매일매일 새 닭을 공급받아 늘 신선한 닭만을 조리해서 고객분들께 판매하고 있습니다. 순살 제품도 닭다리 정육으로만 만들고 있어서 다른 브랜드에 비해 맛이 월등히 맛있다고 자부합니다. 늘 깨끗하고 맛있게 조리하도록 최선을 다하겠습니다. 2. 거리에 따라 배달팁이 더 늘어날수 있습니다. 기본요금 2000원, 켄싱턴리조트, 해군기지, 도순동 등 거리가 먼 지역은 배달팁 2000원 추가 됩니다. 감사합니다. 시우빌이 인접해 있습니다. "
"주소","제주 서귀포시 김정문화로41번길 24-5 1층 102호"
"주소(도로명)","제주특별자치도 서귀포시 김정문화로41번길 24-5"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 736-5"
"대표번호","0507-1412-9280"
"영업시간","14:00-24:00"
"휴무일","없음"
"취급메뉴","올리고당양념, 후라이드반_양념반"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 양이 많아요, 재료가 신선해요"
