"관광타입","음식점"
"음식점명","연남물갈비 서귀포점"
"개요","연남물갈비를 찾아주셔서 감사합니다. 저희 연남물갈비는 맛있게 먹는 방법이 있습니다. 1. 직원의 설명에 귀 기울여 먹는 방법을 듣는다. 2. 태극기 탈거 후 샤브고기를 독도소스에 찍어 먹는다. 3.알맞게 익은 당면, 야채를 샤브와 함께 독도소스에 찍어 먹는다. 4.산더미안에 숨겨진 소등갈비를 독도소스에 찍어 먹는다. 5.다 드신후 볶음밥은 필수입니다. 빈티지어게인, 네일바이민이 인접해 있습니다. "
"주소","제주 서귀포시 김정문화로41번길 3 1층 101호"
"주소(도로명)","제주특별자치도 서귀포시 김정문화로41번길 3"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 747-1"
"대표번호","0507-1419-0198"
"영업시간","11:30 - 23:00"
"휴무일","전화문의 "
"취급메뉴","연남물갈비, 연남불고기 "
"주차시설 유무","있음 "
"리뷰키워드","음식이 맛있어요, 양이 많아요, 친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요"
