"관광타입","음식점"
"음식점명","복음이네김밥만두 "
"개요","주차단속으로 인하여 미리 전화주시면 시간에 최대한 맞춰 싸드립니다. 주차10분 전화 예약 주문률 90프로, 엄마가 싸 준 자극 없는 김밥, 아빠가 만드는 수제만두, 떡볶이도 직접 육수를 내서 만들고 있습니다. 가게가 작아서 홀 없이 포장판매만 하고 배달은 배민으로만 합니다. 재료소진 시 일찍 문을 닫습니다. 작은 가게고 허름하지만 최선을 다해 위생 및 청결에 신경쓰고 있습니다. 대구찜닭, 페리카나가 인접해 있습니다. "
"주소","제주 서귀포시 김정문화로 64"
"주소(도로명)","제주특별자치도 서귀포시 김정문화로 64"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 749"
"대표번호","064-738-0805"
"영업시간","08:00-14:00/17:00"
"휴무일","매주 일요일 "
"취급메뉴","복음이네김밥, 담백하고 고소한 수제고기만두"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 혼밥하기 좋아요"
