"관광타입","음식점"
"음식점명","냉면꽃필무렵 "
"개요","안녕하십니까. 제주 서귀포시에 위치한 냉면꽃필무렵입니다. 저희 냉면꽃필무렵은 위생과 청결을 최우선으로 방문 해주시는 고객님들께 맛있고 신선한 음식으로 보답해 드리고 있습니다. 더욱 든든한 한끼를 하실 수 있도록 노력하고 있습니다. 저희 냉면꽃필무렵은 서귀포 월드컵 경기장 내에 위치해 있으며 인근에 제주워터월드, 세리월드 등 다양한 관광지가 주변에 위치해 많이 방문 해 주시고 계시는 제주 맛집 입니다. 또한 실내 200평에 100석의 넓은 매장으로 가족, 단체모임 등에 방문에도 많이 방문 해주시고 계십니다. 냉면꽃필무렵의 매장 운영시간은 오전 9시30분부터 오후 21시까지이며, 포장과 카드결제, 주차, 예약이 가능합니다. 방문 해 주시는 고객님 한 분 한 분이 내 가족이라는 생각으로 항상 건강하고 맛있는 음식을 제공하겠습니다. 감사합니다. "
"주소","제주 서귀포시 월드컵로 33"
"주소(도로명)","제주특별자치도 서귀포시 월드컵로 33"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 914"
"대표번호","064-739-5788"
"영업시간","09:30 - 21:00"
"휴무일","없음"
"취급메뉴","물냉면, 비빔냉면"
"주차시설 유무","있음"
"리뷰키워드","없음 "
