"관광타입","음식점"
"음식점명","최고집 "
"개요","서귀포 고기집 최고집은 비싼 흑돼지 대신 1등급 제주 돼지를 저렴하게 먹을 수 있는 곳입니다. 메뉴는 오겹살, 항정살, 고집살로 심플합니다. 깔끔한 메뉴에 맛깔나는 밑반찬이 따라 나오지요. 찐제주의 맛 꽃멜젓 멸치젓갈은 연탄불에 보글보글 끓여 양념장으로 찍어먹으면 더 맛있답니다. 인스타그램이나 페이스북을 통해 휴무일과 오픈시간을 꼭 확인 후 방문해 주시기 바랍니다. 서귀포 이마트 5분거리 서귀포 해양 경찰서 옆에 위치해 있습니다. "
"주소","제주 서귀포시 김정문화로 71"
"주소(도로명)","제주특별자치도 서귀포시 김정문화로 71"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 1477-6"
"대표번호","064-739-4777"
"영업시간","16:00 - 23:00"
"휴무일","매주 화요일 "
"취급메뉴","제주산 오겹살, 제주산목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 가성비가 좋아요"
