"관광타입","음식점"
"음식점명","하이데어키친"
"개요","예약 확인 후 안내 문자를 보내드립니다. 메뉴는 통일해서 요청사항 또는 안내 문자에 남겨주셔야 가예약됩니다. 이용일 3일 전까지 예약금을 입금하셔야 예약 완료됩니다. 오시는 분들 성함 또는 메시지 남겨주시면 테이블 카드 준비해드립니다. 메뉴를 남겨주시지 않거나 전화 연결이 안 될 시 예약은 자동 취소됩니다. 당일 예약, 취소는 불가능합니다. 원 테이블 이용 시 테이블 이동, 재배치 불가능합니다. 취학 아동부터 1인 1메뉴 필수입니다. 스테이비갠오후, NR노블레스빌라가 인접해 있습니다."
"주소","제주 서귀포시 서호호근로96번길 14 1층"
"주소(도로명)","제주특별자치도 서귀포시 서호호근로96번길 14"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 326-1"
"대표번호","0507-1333-0217"
"영업시간","17:00 - 21:00"
"휴무일","없음"
"취급메뉴","제주산 돼지 안심, 양고기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 날 가기 좋아요, 인테리어가 멋져요, 친절해요, 특별한 메뉴가 있어요"
