"관광타입","음식점"
"음식점명","맛존디국수"
"개요","저희가 중문에서 제일 오래된 국수집입니다. 서귀포 오일 시장에서 유래한 가마솥 방식을 사용합니다. 단순히 오래 우려낸 것이 아니라, 사골을 서서히 식혔다가 다시 열을 가하는 방식으로, 전통방식 그대로를 고집합니다. 가게가 서귀포로 확장 이전하였습니다. 켄싱턴리조트, 강정천 유원지, 서귀포 월드컵 경기장, 서귀포 이마트, 세리월드, 미로공원, 새연교, 새섬공원, 법환포구, 외돌개, 황우지해안, 서귀포여자고등학교, 건강체험민박, 일동기업사가 인접해 있습니다."
"주소","제주 서귀포시 태평로 36"
"주소(도로명)","제주특별자치도 서귀포시 태평로 36"
"주소(지번주소)","제주특별자치도 서귀포시 호근동 1673-5"
"대표번호","0507-1343-1278"
"영업시간","09:30 - 15:30"
"휴무일","없음"
"취급메뉴","고기국수, 돔베고기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 매장이 청결해요, 특별한 메뉴가 있어요"
