"관광타입","음식점"
"음식점명","곱깨비 서귀동홍점"
"개요","기막힌 감칠맛, 비밀은 곱깨비불, 특별한 소스와 바른 숙성, 그리고 맛있는 온도로 입혀낸 불 맛, 곱깨비는 불 맛 전문가입니다. 제대로 낸 불 맛은 특유의 감칠맛을 선사하고 그 감칠맛으로 곱깨비는 요리를 시작합니다. 기본이 맛있어야 퓨전도 맛있습니다. 이미 기막힌 감칠맛의 볶음 요리는 어떠한 토핑과도 완벽하게 융화되어 최고의 표전 요리를 선보입니다. 학생들도 즐겨 찾는 기묘한 곱창 전문점입니다. 대중성의 한계를 넘었습니다. 전통의 곱창볶음은 물론 퓨전 곱창과 삼겹구이까지 함께 즐기는 캐쥬얼 메뉴 라인입니다. 치킨을 즐겨 찾듯 퓨전 곱창을 즐겨 찾는 학생들의 곱창시대를 만듭니다. 편안함이 돋보이는 세련된 캐쥬얼 다이닝 레스토랑 남녀노소 세대를 넘어 모두가 함께하기에 더없이 좋은 공간을 만듭니다. 흙집사랑, 한샘요가원이 인접해 있습니다."
"주소","제주 서귀포시 중앙로150번길 70"
"주소(도로명)","제주특별자치도 서귀포시 중앙로150번길 70"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 1322-4"
"대표번호","0507-1465-5631"
"영업시간","16:00-24:00"
"휴무일","둘째, 넷째 화요일"
"취급메뉴"," 눈꽃곱창, 야채곱창"
"주차시설 유무","없음"
"리뷰키워드","없음"
