"관광타입","음식점"
"음식점명","솔오름아구찜 "
"개요","제주도 서귀포시 동홍로 167로 오시면 제주도에서 가장 맛있고 신선하고 정직한 아구찜을 맛보실 수 있습니다. 생전복을 통째로 요리하여 원기회복에 도움을 주며 합리적인 가격대에 전통 아구찜을 맛보실 수 있습니다. 육지에서 27년 아구찜 경력으로 제주도에 내려와 매장을 오픈하고 제주도 서귀포시 맛집으로 거듭나고 있습니다. 동홍동 솔오름 아구찜 방문 부탁드립니다. 한라골프연습장, 대영사무가구, 동서귀포교회가 인접해 있습니다."
"주소","제주 서귀포시 동홍로 167"
"주소(도로명)","제주특별자치도 서귀포시 동홍로 167"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 1183-2"
"대표번호","064-733-5782"
"영업시간","11:00 - 21:30"
"휴무일","매주 화요일"
"취급메뉴","아구찜, 전복아구찜"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요, 가성비가 좋아요"
