"관광타입","음식점"
"음식점명","라라코스트 서귀포점"
"개요","Welcome everybody, 행복한 식사 시간을 선물하는 패밀리 레스토랑 라라코스트입니다. 남녀노소가 즐기는 다양한 메뉴, 가족 고객을 배려한 키즈존, 음료와 커피의 기본 제공, 기분 좋은 공간을 연출하는 인테리어 등 패밀리 레스토랑의 격을 완성하려는 노력을 아끼지 않고 있습니다. 라라코스트에서 합리적인 가격, 그 이상의 가치를 느껴 보세요. 서귀포점의 주문 마감은 저녁 9시 40분입니다. 제주은행, 풍천연가, 이비가짬뽕이 인접해 있습니다."
"주소","제주 서귀포시 일주동로 8670"
"주소(도로명)","제주특별자치도 서귀포시 일주동로 8670"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 1542-5"
"대표번호","064-733-3231"
"영업시간","11:00 - 24:00"
"휴무일","없음"
"취급메뉴","까르보나라, 베이컨 토마토 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 가성비가 좋아요, 단체모임 하기 좋아요, 친절해요"
