"관광타입","음식점"
"음식점명","곁애"
"개요","사랑하는 연인, 가족, 친구들에게 곁서 당신이 사랑을 나누어주는 추억을 만들어보세요. 곁愛는 언제나 당신 곁에서 당신을 위해 존재합니다. 서귀포 최대 주류를 보유하고 있으며 착한 가격으로 제공합니다. 신선한 사시미와 매일 직접 수작업하는 수제 꼬치가 일품인 이자카야입니다. 비가 오나 눈이오나 늘 곁에 머무는 공간이 되도록 노력하겠습니다. 플러스마트, 서귀포올레시장, 시인의공방, 동신교회가 인접해 있습니다."
"주소","제주 서귀포시 문부로 36-6 1층"
"주소(도로명)","제주특별자치도 서귀포시 문부로 36-6"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 410-4"
"대표번호","064-900-4104"
"영업시간","17:00 - 02:00"
"휴무일","매주 수요일"
"취급메뉴","참치도로사시미, 문어초회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 청결해요, 술이 다양해요, 특별한 메뉴가 있어요"
