"관광타입","음식점"
"음식점명","커피516 서귀포시 동홍동"
"개요","치즈 듬뿍 파니니, 선한 샐러드와 크로와상샌드위치, 직접 로스팅 한 원두커피 맛집입니다. 치즈 함량 99.5프로의 자연치즈를 사용 더욱더 풍미가 있고 맛있는 파니니를 드실 수 있습니다. 또한, 서비스로 애들도 좋아하는 감자튀김과 치즈볼이 있어 든든하게 드실 수 있고, 비싼 피자보다 가성비 있는 파니니를 즐길 수 있습니다. 새벽에 채소를 깨끗이 손질 후 숙성시켜 더욱더 신선한 샐러드를 드실 수 있게 준비하고 있습니다. Big크로와상에 보존료 무첨가 등심햄, 베이컨, 겨자채, 토마토, 피클, 특히 수제소스로 맛있는 크로와상샌드위치를 드실 수 있습니다. 또한, 디저트가 포함돼서 선물용으로 구성이 좋아 추천합니다. 최상위 생두를 로스팅 하여 한 번도 안 마셔본 사람은 있어도, 한 번만 마셔본 사람이 없는 깊은 커피의 맛을 느낄 수 있습니다. 소규모 회의, 모임 등을 할 수 있는 단체석이 구비돼있습니다. 또한, 프로젝터가 구비돼 있어 소규모 미팅을 하기에 최적에 장소입니다. 매장은 세스코 멤베스존으로 청결은 기본이고, 맛, 청결, 친절을 항상 최상으로 생각하며 서비스하고 있습니다. 주차는 매장 앞의 노면에 주차하시면 됩니다. 비석거리, 유진씨엔지, 우인건설이 인접해 있습니다."
"주소","제주 서귀포시 516로 11"
"주소(도로명)","제주특별자치도 서귀포시 516로 11"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 417-13"
"대표번호","0507-1409-5025"
"영업시간","10:00-15:00"
"휴무일","매주 일요일"
"취급메뉴","파니니, 샌드위치"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 커피가 맛있어요, 인테리어가 멋져요"
