"관광타입","음식점"
"음식점명","아솥"
"개요","서귀포 대표 솥뚜껑 삼겹살 전문점입니다. 오랜시간, 과한 건조 및 지방분해 방식의 숙성이 아닌 돼지의 강직도 해제를 위한 필요 적정시간과 수분은 날리고 고기 특유의 육즙과 기름기를 유지시키는 숙성 방식으로 솥뚜껑에 두꺼운 무쇠에 구음으로써 부드럽고 탱글 한 식감과 극강의 고소함과 육즙을 맛보실 수 있습니다. 야외에서 먹는 독림된 공간의 캠핑 스타일의 서귀포 흑돼지 고기집 글램핑 느낌의 텐트 안에서 편안하게 캠핑 느낌을 느끼시면서 춥거나 바람 불거나 덥거나 하지 않고 편안하게 아궁이 모양의 식탁에서 거대 솥뚜껑에 두꺼운 고기를 구워 먹는 아솥만의 특별한 고기를 드시고 싶다면 언제든지 연락 주세요. 연중무휴 항상 열려 있는 아솥은 여러분의 식사 시간을 즐겁고 행복하게 만들어 드리겠습니다. 남주고등학교, 루체비스타아파트가 인접해 있습니다."
"주소","제주 서귀포시 동홍로303번길 13"
"주소(도로명)","제주특별자치도 서귀포시 동홍로303번길 13"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 1910-1"
"대표번호","0507-1437-8057"
"영업시간","13:00 - 22:00"
"휴무일","전화문의"
"취급메뉴","흑돼지 오겹살, 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 인테리어가 멋져요, 뷰가 좋아요"
