"관광타입","음식점"
"음식점명","바세츠아이스크림 동홍점"
"개요","바세트 아이스크림의 특장점은 슈퍼 프리미엄 아이스크림으로 미국에서 가장 오래된 아이스크림 브랜드입니다. 장인 정신으로 만들어지는 명품 아이스크림, 각 공정마다 철저한 품질 관리합니다. 최고 품지 코셔 마크 인정, 글루텐 프리입니다. 대대로 이어지는 가족 운영 회사, 현재 6대째 운영 중입니다. 다양하고 독창적인 플레이버입니다. GS25, 토리네일이 인접해 있습니다."
"주소","제주 서귀포시 일주동로 8572 엘솔빌딩 1층"
"주소(도로명)","제주특별자치도 서귀포시 일주동로 8572"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 499-7"
"대표번호","0507-1350-7727"
"영업시간","11:00 - 23:00"
"휴무일","매주 화요일"
"취급메뉴","다크초코, 녹차라떼"
"주차시설 유무","있음"
"리뷰키워드","디저트가 맛있어요, 친절해요, 매장이 청결해요, 특별한 메뉴가 있어요, 커피가 맛있어요"
