"관광타입","음식점"
"음식점명","어머니와장독대 서귀포점"
"개요","시골집 보리밥, 잔칫집 돔베 고기, 엄마 집 묵은 지 김치찜이 맛있는 서귀포 대표 한식집입니다. 좌식, 입식, 테라스 단체석까지 완비되어 있어서 대형 단체부터 소가족 모임까지 가능합니다. 고즈넉하고 예스러운 소품들로 꾸며져 있어 어른들에게는 추억을 아이들에게는 호기심을 불러일으키는 인테리어가 맛을 한층 더 업그레이드해 준답니다. 오늘은 시골잔치집에서 엄마가 정성스럽게 차려준 한 끼 어떠세요. 찾아와주신 모든 분들 감사드립니다. 올라 시장, 천지연 정방폭포가 인접해 있습니다."
"주소","제주 서귀포시 중앙로101번길 27 수경빌딩 1층"
"주소(도로명)","제주특별자치도 서귀포시 중앙로101번길 27"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 442-19"
"대표번호","0507-1369-1235"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","보리밥, 묵은지돼지김치찜"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 주차하기 편해요, 매장이 넓어요"
