"관광타입","음식점"
"음식점명","아는맛"
"개요","저희 아는 맛은 제주가 낳고, 기른 100프로 1등급 제주산 삼겹살을 급랭하여 잡냄새가 전혀 없고 껍질을 떼지 않아 고소하고 쫄깃한 제주 고기의 식감을 맛볼 수 있습니다. 그리고 아는 맛 주인장이 매주 또는 매일 바뀌는 반찬을 엄마의 손맛으로 정성껏 준비합니다. 아는 맛을 찾아주시는 한 분 한 분께 친절함과 맛으로 보답해 드리겠습니다. 데일리요가, 으뜸어린이집이 인접해 있습니다."
"주소","제주 서귀포시 중산간동로 8045-8 데일리요가 1층"
"주소(도로명)","제주특별자치도 서귀포시 중산간동로 8045-8"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 263-2"
"대표번호","064-762-8835"
"영업시간","16:00 - 22:00"
"휴무일","매주 일요일"
"취급메뉴","냉삼겹살, 차돌된장찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 주차하기 편해요"
