"관광타입","음식점"
"음식점명","별빛옥상 "
"개요","올레길 6코스 끝 지점에 위치한 카페 별빛 옥상입니다. 카페, 치맥 그리고 작은 슈퍼도 함께하고 있어요. 저희 카페 추천 메뉴는 프라이트 치킨이에요. 얇은 튀김옷에 다진 생마늘이 올려진 마늘치킨입니다. 저희 부모님이 올레시장에서 중앙 통닭을 18년 운영하셨습니다. 지금은 지인분께 넘기신지 7년 넘었습니다. 옛날 마늘치킨 맛을 느껴보고 싶으신 분들, 업그레이드된 마늘치킨 맛을 느낄 수 있으실 겁니다. 자몽 맥주, 치킨 궁합 1000프로 그리고 카페 음료 제주전통 쌀발효음료 쉰다리랑 휴롬으로 직접 짠 감귤주스가 맛있습니다. 설탕이나 물을 전혀 첨가하지 않은 원액 감귤쥬스를 맛보면 정말 설탕이 안 들어간 게 맞나 싶을 정도로 달콤한 감귤주스 맛을 볼수 있습니다. 시공원, 외돌개가 인접해 있습니다."
"주소","제주 서귀포시 남성로 140"
"주소(도로명)","제주특별자치도 서귀포시 남성로 140"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 644-9"
"대표번호","064-762-2253"
"영업시간","08:00 - 23:30"
"휴무일","없음"
"취급메뉴","마늘후라이드치킨, 양념치킨"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 가성비가 좋아요, 특별한 메뉴가 있어요"
