"관광타입","음식점"
"음식점명","영춘반점"
"개요","재야의 숨은 고수가 돌아왔다. 부산 중국집 업계를 공포로 몰아넣은 바로 그 맛 60여 년간 영춘반점 간판 하나로 짜장계를 평정한 그가 돌아왔다. 쫀득쫀득 찹쌀의 쫄깃함에 특제 소스까지 혀에 감기는 순간 절대 헤어나지 못하는 바로 그맛 찹쌀 탕수육입니다. 편의점 도시락 먹지 말고 이거 한번 먹어봐. 짜장계를 평정했다는 바로 그 맛 짜장면 단돈 3500원입니다. 파 한 뿌리 정성 들여 씻어내며 우리 가족 먹인 다는 생각으로 손질부터 완성까지 전 과정 무장된 청결과 위생, 육지 돼지는 가라. 전 요리 100프로 제주산 돼지고기 사용, 기억하라 한번 맛보면 또 오게 된다. 푸르넷 공부방, 한아름김밥이 인접해 있습니다."
"주소","제주 서귀포시 중앙로 154"
"주소(도로명)","제주특별자치도 서귀포시 중앙로 154"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 314-9"
"대표번호","0507-1420-5156"
"영업시간","10:30 - 20:00"
"휴무일","매주 토요일"
"취급메뉴","짜장면, 영춘면"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 혼밥하기 좋아요, 재료가 신선해요"
