"관광타입","음식점"
"음식점명","꼬라지오 "
"개요","꼬라지오는 용기라는 이탈리아어로 청년 장애인 바리스타들의 꿈과 희망이 실현되는 공간입니다. 작은 정원이 있는 브런치 카페 꼬라지오에서 동물, 식물, 장애인, 비장애인이 어우러져 모두가 행복하고 의미 있는 시간이 되기를 바랍니다. 모든 음료와 음식은 화학적 재료를 첨가하지 않고 좋은 재료를 사용해 자극적이지 않은 건강한 맛을 추구합니다. 꼬라지오는 사회적기업 에코소랑에서 운영하고 있으며, 판매 수익은 전액 근로 장애인들의 임금과 직업재활에 쓰여집니다. 사골가마솥, 삼화목재가 인접해 있습니다."
"주소","제주 서귀포시 일주동로 8777"
"주소(도로명)","제주특별자치도 서귀포시 일주동로 8777"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 1153-6"
"대표번호","064-762-2297"
"영업시간","09:00 - 17:00"
"휴무일","매주 일요일"
"취급메뉴","오픈샌드위치, 베리레몬에이드"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 재료가 신선해요, 주차하기 편해요"
