"관광타입","음식점"
"음식점명","요망진흑돼지 "
"개요","요망진 흑돼지 제주 본점으로 제주산 청정 흑돼지만 사용합니다. 냄새와 연기가 덜 나고 잘 타지 않아 건강에 좋은 원적외선 그릴을 사용하며 합리적인 가격에 다양한 부위의 흑돼지를 한 근으로 드실 수 있습니다. 제주 연안에서 많이 잡히는 딱새우와 전복, 옥수수, 감자, 소시지를 버터구이 느낌으로 요리한 신메뉴 요망진 딱새우 찜은 남녀노소 해산물을 즐기기에 최적입니다. 딱새우 찜 육수로 만든 라면은 부드러운 맛과 해물 육수가 일품입니다. 조, 중, 석식 이용이 가능하며 요망진 치킨도 맛볼 수 있습니다. 시원한 바다전망과 수많은 별들과 가족과, 연인과, 친구와 함께하는 흑돼지 파티, 요망진 흑돼지에서 즐겨보세요. 돈내코힐리조트, 라비아제주타운하우스가 인접해 있습니다."
"주소","제주 서귀포시 돈내코로 178 요망진흑돼지"
"주소(도로명)","제주특별자치도 서귀포시 돈내코로 178"
"주소(지번주소)","제주특별자치도 서귀포시 상효동 2205-3"
"대표번호","0507-1422-4548"
"영업시간","08:00 - 22:00"
"휴무일","매주 수요일"
"취급메뉴","흑돼지, 딱새우라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 주차하기 편해요, 매장이 청결해요"
