"관광타입","음식점"
"음식점명","제미니국수 서귀포점"
"개요","모든 메뉴 포장가능합니다.푸짐함은 제주 원탑입니다. 직접 뽑아서 사용하는 생면입니다. 직접 정성들여 끓이는 사골 현재 세트 구성에서 단품메뉴는 변경 주문이 안됩니다. 양해 부탁드리겠습니다. 안녕하세요. 제주 유명 관광지 쇠소깍에 위치해 있는 제미니국수입니다. 제미니는 저희 남편 이름이랍니다. 이름을 걸고 하는 만큼 제미니국수는 좋은 식재료로 정직한 음식만 손님께 제공해드릴 수 있도록 더 노력하겠습니다. 제미니국수 스토리는 식재료 직영 공급하며, 제미니국수에 들어가는 모든 식재료 들은 직접 저희 부모님이 농사짓는 농작물이며, 제주산을 사용하고 있습니다. 유통 과정없이 직접 생면에 들어가는 밀가루까지 공급받기 때문에 정말 믿고 드실 수 있습니다. 그래서 더 푸짐하게 드릴 수 있어요. 다양한 구성 세트메뉴 이며 남녀노소 아이 까지 온 가족이 즐길 수 있는 세트메뉴와 사이드 메뉴까지 완벽 준비 했습니다. 어르신들은 제주 아강발에 막걸리를한 잔 하시고 아이들은 물만두를 너무 좋아한답니다. 다양한 구성으로 준비되있는 저희 세트메뉴는 후회 없으실거에요. 제미니 생면연구소 국수집 인만큼 면에 신경을 써야합니다. 지금은 농업을 하시지만 농사 짓기 전까지 요식업을 오래 하셨던 저희 부모님의 가르침을 따라서 국수 면까지 직접 자가 제면으로 생면을 사용합니다. 그래서 면이 다 불더라도 뚝뚝 끊어짐 없이 쫀득한 식감을 느끼실 수 있어요. 푸짐한 고기양으로, 제주도에는 수많은 고기국수, 국수집이 있지만 그래도 제주도에 오셨다면 아쉽지 않게 제주도 돼지고기 드셔야합니다. 제미니국수는 국수양도 푸짐하지만 고기양도 푸짐하게 가득 담아드립니다. 배부르게, 만족할 수 있도록 드시고 가시면 됩니다. 양은 제미니 국수가 산더미 처럼 푸짐하게 드릴게요. 제주에 오셨다면 쇠소깍에 오셨다면 비주얼 맛집 푸짐한 고기토핑 입니다. 제미니국수로 오시면 됩니다. 감사합니다. 미미탕후루, 세븐일레븐이 인접해 있습니다."
"주소","제주 서귀포시 쇠소깍로 134 제미니국수 서귀포점"
"주소(도로명)","제주특별자치도 서귀포시 쇠소깍로 134"
"주소(지번주소)","제주특별자치도 서귀포시 하효동 995-6"
"대표번호","0507-1448-1401"
"영업시간","09:00 - 18:00"
"휴무일","없음"
"취급메뉴","제미니 고기국수, 제미니 비빔국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 양이 많아요, 재료가 신선해요, 매장이 청결해요"
