"관광타입","음식점"
"음식점명","착한갈치 "
"개요","착한 갈치는, 갈치의 품질과 신선도를 최우선으로 생각하여 청정지역 제주 앞 바다에서 갓 잡은 제주 은갈치만을 사용합니다. 갈치 요리 전문식당으로서 오직 두 가지 메뉴만을 요리합니다. 은갈치조림, 착한갈치만의 맵칼한 양념을 사용하여 무와 고사리를 넣었습니다. 은갈치 구이 갈치의 고소한 맛을 더하기 위해 겉은 바삭하고 속은 부드럽고 촉촉합니다. 착한갈치는 서귀포 보목포구에 위치한 갈치 전문점이며 현지인들이 자주 찾아주시는 식당입니다. 아침 일찍 9시 30분에 오픈하여 아침식사하시기 좋습니다. 항상 착한 맛과 가격으로 정성껏 준비하겠습니다. 주변 관광지로 보목포구, 보목항 , 제지기오름 도보로 2분 거리에 쇠소깍, 제주올레길6코스, 감귤박물관 차로 5분 거리에는 서귀포 올레시장, 천지연폭포, 정방폭포 차로 10분 거리에 있습니다. 즐겁고 행복한 제주 여행 되세요. 커핏, 아일랜드라디오가 인접해 있습니다."
"주소","제주 서귀포시 보목포로 35"
"주소(도로명)","제주특별자치도 서귀포시 보목포로 35"
"주소(지번주소)","제주특별자치도 서귀포시 보목동 535"
"대표번호","0507-1337-9279"
"영업시간","09:30 - 20:00"
"휴무일","없음"
"취급메뉴","제주은갈치조림, 제주은갈치구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 재료가 신선해요, 친절해요, 매장이 청결해요"
