"관광타입","음식점"
"음식점명","보래드베이커스"
"개요","반려동물 동반은 불가능합니다. 모든 메뉴들은 당일 생산 판매 합니다. 서귀피안 베이커리 프로젝트 보래드 베이커스입니다. 서귀포 바다를 바라보며 맛있는 디저트와 음료를 편안한 분위기에서 즐기실 수 있는 제주도의 핫 플레이스입니다. 매일 직접 로스팅한 원두로 만든 스페셜 커피와 수제 베이커리, 디저트까지 즐겨보세요. 귤향기 편의점, 밀레니엄빌이 인접해 있습니다."
"주소","제주 서귀포시 보목로64번길 178 1층 보래드 베이커스"
"주소(도로명)","제주특별자치도 서귀포시 보목로64번길 178"
"주소(지번주소)","제주특별자치도 서귀포시 보목동 1453"
"대표번호","0507-1314-1450"
"영업시간","08:00 - 22:00"
"휴무일","없음"
"취급메뉴","플레인 크로아상, 카야잼 스콘"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 뷰가 좋아요, 커피가 맛있어요, 인테리어가 멋져요, 사진이 잘 나와요"
