"관광타입","음식점"
"음식점명","원보뷔페본점 "
"개요","안녕하세요. 원보뷔페 입니다. 제주 원보는 제주도 서귀포시에 위치한 샤브샤브 전문점으로, 20년 전통의 뷔페와 샤브샤브, 월남쌈을 이용 가능합니다. 원보뷔페 에서는 특별함이 있는데, 그 중 하나가 흑돼지 샤브샤브, 그리고 활어 초밥, 성게 미역국을 맛볼 수 있다는 것입니다. 단체 150석 이상 보유하고 있어 피로연, 돌잔치 등 단체 행사까지 가능합니다. 원보뷔페는 건강식과 로컬푸드로 혼심을 다하겠습니다. 저녁 영업은 80명 이상 단체 예약이 있을 시에만 운영합니다. 저녁에 단체 모임 및 식사 장소가 필요하다면 언제든지 전화 문의 환영합니다. 야외 식사 및 마이크 시설, 단상, 무대 스크린 이용 시 문의주세요. 주차는 매장 앞을 이용해주세요. 카페봄봄, 와우맘하우스가 인접해 있습니다."
"주소","제주 서귀포시 516로 204"
"주소(도로명)","제주특별자치도 서귀포시 516로 204"
"주소(지번주소)","제주특별자치도 서귀포시 토평동 2219"
"대표번호","0507-1341-8997"
"영업시간","11:00 - 20:30"
"휴무일","없음"
"취급메뉴","점심 제주 흑돼지, 샤브샤브"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요,가성비가 좋아요, 매장이 넓어요, 주차하기 편해요, 재료가 신선해요"
