"관광타입","음식점"
"음식점명","제주운정이네"
"개요","저희 제주운정이네 중문 본점은 집에 찾아오는 손님께 넉넉하고 푸짐한 식사 한 상을 대접한다는 부모님과의 생전 기억에서 배운 것들로 내 딸 운정이를 생각하는 마음으로 정성과 진심을 다해 차려내는 상차림을 모티브로 넉넉하고 푸짐한 음식을 손님 상에 담아내는 정직하고 전문적인 음식점입니다. 주인장이 직접 반찬부터 모든 요리를 손수 하나하나 정성껏 만들고 있습니다. 대표 메뉴 중 하나인 갈치조림에는 시원한 무, 포슬포슬 감자와 살아있는 문어, 그리고 싱싱한 전복으로 칼칼하고 자작하게 끓여 내고 있습니다. 갈치구이는 전용 그릴에 구워 흐드러지지 않도록 구워내고 있습니다. 갈치구이는 테이블에서 직접 직원이 손질하여 고객님이 편히 드실 수 있도록 하고 있습니다. 오시는 고객님께 넉넉한 마음으로 푸짐한 한상을 차려내고 있습니다. 고객님의 귀한 발걸음에 후회 없도록 정성껏 모시겠습니다. 초심을 잃지 않고 현재에 만족하지 않으며, 맛있는 음식을 차려내기 위해 끊임없이 노력하는 제주운정이네 중문본점으로 오십시오. 제주신라호텔, 제주롯데호텔이 인접해 있습니다."
"주소","제주 서귀포시 중산간서로 726 운정이네 중문본점"
"주소(도로명)","제주특별자치도 서귀포시 중산간서로 726"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 1239-5"
"대표번호","064-738-3883"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","칼칼 통갈치조림, 촉촉 통갈치구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 주차하기 편해요"
