"관광타입","음식점"
"음식점명","아방갈비"
"개요","40년 경력의 사장님이 운영하시는 최고급 제주산 한우만을 골라 저렴한 가격에 서비스하는 가게입니다. 오직 제주산 한우와 제주산 메밀 그 외 김치 고춧가루 참기름 등도 국내산만을 쓰고 있습니다. 이용하시는 고객들에게 최고의 맛을 선사해 드리겠습니다. 제주산 한우를 맛보고 싶다면 아방갈비입니다. 직접 반죽한 메밀면을 맛보고 싶다면 아방갈비입니다. 푹 고아 찐한 갈비탕 맛을 느끼고 싶다면 아방갈비입니다. 포트46, 레드빈이 인접해 있습니다."
"주소","제주 서귀포시 중문상로 46 2층"
"주소(도로명)","제주특별자치도 서귀포시 중문상로 46"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 2015-1"
"대표번호","064-738-1841"
"영업시간","11:30 - 22:00"
"휴무일","없음"
"취급메뉴","아방갈비, 한우갈비탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 가성비가 좋아요"
