"관광타입","음식점"
"음식점명","덕승식당 중문점"
"개요","비싼 가격의 타 조림 집 보다 100배는 더 맛있다는 평가를 해주실 정도로 맛보시면 결코 후회하지 않으실 겁니다. 착한 가격, 신선한 식재료를 고집하여 서귀포의 자연산 활어를 사용합니다. 집에서 만든 요리처럼 어머님의 손맛을 느낄 수 있도록 시간과 정성을 담아 조리합니다. 항상 저희 덕승식당을 찾아주시는 손님분들께 감사의 말씀을 드립니다. 카카오 플러스친구에 덕승식당 검색하세요. 덕승식당 택배 서비스로 이젠 집에서도 맛있게 즐기세요. 상시 판매 제품은 갈치, 우럭, 고등어, 옥돔입니다. 계절 생선으로는 가오리, 아나고, 객주리, 벤자리, 북조기 판매합니다. 중문우체국, 농협이 인접해 있습니다."
"주소","제주 서귀포시 천제연로207번길 7 더프라임시티 102호"
"주소(도로명)","제주특별자치도 서귀포시 천제연로207번길 7"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 2017"
"대표번호","0507-1305-8463"
"영업시간","10:00 - 22:00"
"휴무일","첫째, 셋째 수요일"
"취급메뉴","갈치조림, 잡어회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 반찬이 잘 나와요"
