"관광타입","음식점"
"음식점명","미스제주 서귀포중문본점"
"개요","한 곳에서 18년간 운영되어 온 미스제주 서귀포 중문 본점입니다. 현지인과 단기 거주하시는 손님들이 항상 집 밥을 드신다는 기분으로 방문하는 밥집 식당입니다. 하루 한 번 담그는 겉절이 김치를 제공하고 있습니다. 2시간 이상 푹 끓이는 흑돼지 김치찌개, 재료를 직접 챙겨서 정성으로 만들어내는 소한마리 국밥 등 정성을 다하는 8천 원에서 9천 원대 메뉴가 대다수입니다. 계란 프라이 셀프 코너를 갖추고 있어 이용하시면 됩니다. 1인 1알로 제한합니다. 누룽지와 공깃밥 무료 리필 코너를 구비하고 있습니다. 흑돼지 오겹살, 목살 1인분 180그램에 17000원으로  2인분 이상 주문 가능하며 맛이 으뜸이라고 자부합니다. 비쥬얼로 고가에 판매하는 곳이 아니라 실속있고 가성비 있게 이용하실수 있는 흑돼지 맛집입니다. 구이류 주문시 1테이블당 계란찜이 써비스로 제공됩니다. 가격 인상 요인은 많으나 코로나 시국에 너나 없이 어려운 처지라 당분간 인상계획은 없습니다. 믿고 찾아주시면 절대 후회하지 않으실 겁니다. 16년간 자리를 떠나지 않고 손님들을 맞이 할수 있어서 영광입니다. 휴무는 둘째주, 넷째주 화요일입니다. 세븐일레븐, 중문성당이 인접해 있습니다."
"주소","제주 서귀포시 천제연로 145 미스제주가든"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 145"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 2174"
"대표번호","0507-1404-8112"
"영업시간","09:00-21:00"
"휴무일","매주 화요일"
"취급메뉴","소한마리국밥, 흑돼지김치찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 주차하기 편해요, 가성비가 좋아요"
