"관광타입","음식점"
"음식점명","사해방"
"개요","서귀포에 위치한 중화요리 전문점 사해방입니다. 손님들의 입맛에 맞추어 맛있고, 깔끔한 식사를 제공합니다. 큼직하게 썰어진 흑돼지가 들어간 흑돼지 탕수육, 흑돼지 짜장면 등 흑돼지를 활용한 푸짐한 요리를 맛볼 수 있습니다. 또한 해물짬뽕은 딱새우, 오징어 등 해산물이 푸짐하게 들어 있어 해산물을 하나씩 골라 먹는 재미가 쏠쏠합니다. 넓은 주차장을 보유하고 있으며, 단체석이 완비되어 있어 단체 회식, 가족모임 등 300명의 인원 수용이 가능합니다. 아이들 놀이방 역시 마련되어 있어, 아이들과 함께 방문하기 좋습니다. 중문동물병원, 중문우리낚시가 인접해 있습니다."
"주소","제주 서귀포시 천제연로 263 사해방"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 263"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 1891-7"
"대표번호","064-738-7776"
"영업시간","10:00-22:00"
"휴무일","둘째, 넷째 수요일"
"취급메뉴","짜장면, 차돌짬뽕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 양이 많아요, 매장이 넓어요, 단체모임 하기 좋아요"
