"관광타입","음식점"
"음식점명","베지지"
"개요","TRULY GREEN, VGG 서툴더라도 건강하고 자연친화적인 삶과 생활을 위해 노력하는 베지지 입니다. 영업시간에 변동이 있을 경우에 공지 됩니다. 가능한 재료들은 제주산 로컬푸드를 사용하고 있습니다. 루꼴라, 적근대, 당근, 양파, 보더콜리 등 샐러드 채소 및 곡물류, 계절이나 재료 수급 상황에 따라 토핑의 일부가 변경될 수 있습니다. 모든 소스, 드레싱은 직접 만듭니다. 포장 및 배달에는 밀짚 펄프 용기, 생분해 봉투 등 조금 비싸고 불편하더라도 친환경적인 포장재를 사용합니다. 영재교육원, 아름비 미술학원이 인접해 있습니다."
"주소","제주 서귀포시 중문상로 62 1층 베지지"
"주소(도로명)","제주특별자치도 서귀포시 중문상로 62"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 1664-2"
"대표번호","0507-1319-2634"
"영업시간","10:00 - 20:30"
"휴무일","없음"
"취급메뉴","참치포케, 수비드부채살보울"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 혼밥하기 좋아요, 매장이 청결해요"
