"관광타입","음식점"
"음식점명","노랑통닭제주 중문점"
"개요","온 가족이 모여 따뜻하고 바삭한 치킨을 맛있게 먹던 기억이 있으신가요. 이런 소중한 순간들은 오랫동안 기억에 남기에 노랑 통닭은 그 추억에 행복이 더해질 수 있도록 치킨의 본질에 집중합니다. 우리는 어떤 치킨이 맛있는 치킨인지 오랫동안 고민했고, 치킨은 결국 바삭한 튀김에서부터 시작된다는 것을 깨달았습니다. 그렇기에 노랑 통닭은 바삭한 치킨을 위해 옥수수 전분으로 튀김 옷을 입히고 최적의 온도를 유지하는 가마솥에 정성스럽게 튀겨 더욱 바삭한 치킨을 만듭니다. 다 같이 모여 노랑 통닭을 즐길 때 바삭하고 맛있는 치킨의 행복함이 오래 기억되길 바라니까요. 역전 할머니 맥주, 중문약국이 인접해 있습니다."
"주소","제주 서귀포시 천제연로 200 더럭빌딩 1층 102호"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 200"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 2028-3"
"대표번호","0507-1315-9209"
"영업시간","15:10/11:30 - 03:00"
"휴무일","없음"
"취급메뉴","알싸한 마늘치킨, 뿌리노랑"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 가성비가 좋아요, 재료가 신선해요"
