"관광타입","음식점"
"음식점명","소담명가 찰솥밥 본점"
"개요","전 메뉴 직접 조리합니다.  아침식사 가능합니다. 가게 뒤에서 직접 운영하는 황토방에서 만든 청국장과 갈치조림, 갈치구이, 고등어구이, 고등어조림, 전복 찰 솥밥, 흑돼지 주물럭, 더덕구이, 전복 미역국, 국내산 콩으로 직접 만든 손두부와 순두부 등으로 식사를 즐길 수 있는 소담명가입니다. 1인 기준 8천 원에서 2만 5천원 대로 향토음식을 다양하게 맛볼 수 있는 세트 메뉴도 구성되어 있으며, 수용인원 100여 명이 넘는 넓고 쾌적한 공간에서 제주도의 맛을 느껴보세요. 용이식당 중문점, 제주농원이 인접해 있습니다."
"주소","제주 서귀포시 천제연로 357 소담명가찰솥밥"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 357"
"주소(지번주소)","제주특별자치도 서귀포시 회수동 556"
"대표번호","064-739-1121"
"영업시간","09:00-22:00"
"휴무일","둘째, 넷째 수요일"
"취급메뉴","전복 찰 솥밥, 고등어구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 재료가 신선해요, 매장이 넓어요"
