"관광타입","음식점"
"음식점명","강정포구횟집"
"개요","강정포구횟집을 찾아주셔서 진심으로 감사드립니다. 제주도 고유의 싱싱한 회를 맛보실 수 있는 저희 강정포구횟집은 자연산 활어회 전문점입니다. 다금바리, 돌돔, 갯돔, 구문쟁이, 능성어, 돗돔, 벵에돔, 참돔, 광어, 히라스, 방어 등 싱싱하게 준비된 활어회의 맛으로 고객분들의 절대 미각을 만족시켜드리겠습니다. 저희 강정포구횟집은 70평 규모에 100명의 손님이 회를 드실 수 있도록 마련되어 있습니다. 고객 편의를 위해 차량 픽업과 대리비를 지원하며 전기차충전소도 이용하실 수 있습니다. 이번 제주도 여행이 즐거운 여행이 되실 수 있도록 싱싱한 회로 정성껏 준비하겠습니다. 감사합니다. 제주 해군기지, 켄싱턴리조트가 인접해 있습니다."
"주소","제주 서귀포시 말질로 274 강정포구횟집"
"주소(도로명)","제주특별자치도 서귀포시 말질로 274"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 4686-2"
"대표번호","064-739-0049"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","참돔, 광어"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 뷰가 좋아요, 주차하기 편해요"
