"관광타입","음식점"
"음식점명","구이구이돌담집"
"개요","제주산 돼지고기만을 취급합니다. 광고 많이 하는 가게들과는 영업 방법이 다릅니다. 정성을 담아 직접 만드는 반찬을 제공합니다. 고기맛은 당연한 것이구요. 2021년 구이구이돌담집은 7살이 되었습니다. 코로나로 인하여 조금 주춤하지만 항상 잊지않고 찾아와 주시는 단골분들을 위로 삼아 변하지 않는 맛을 위해서 하루하루 열심히 준비하고 있습니다. 손님이 많은 것도 부담스럽습니다. 딱 적당히 제가 할 수 있는 만큼만 하겠습니다. 다시 오시는 손님분들을 위해서 구이구이돌담집만의 시그니쳐 반찬들과 제주의 자랑 맛있는 돼지고기를 제공하겠습니다. 진심을 담는 가게가 되겠습니다. 빠레브호텔이 인접해 있습니다."
"주소","제주 서귀포시 신서로32번길 8"
"주소(도로명)","제주특별자치도 서귀포시 신서로32번길 8"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 172-7"
"대표번호","0507-1306-3392"
"영업시간","17:00 - 23:00"
"휴무일","매주 수요일"
"취급메뉴","흑가브리살, 흑삼겹"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 가성비가 좋아요"
