"관광타입","음식점"
"음식점명","형아시횟집"
"개요","서귀포 켄싱턴리조트 근처에 위치한 형아시횟집 입니다. 신선한 해산물과 여러 가지 회를 맛볼 수 있는 곳입니다. 식사류로 매운탕, 지리, 회덮밥, 초밥, 활한치 물회 계절 메뉴 등이 준비되어 있으며 활어회, 모둠회, 생선구이까지 다양하게 준비되어 있습니다. 시원하고 푸른 제주 바다를 보며 신선한 회 한 점 하고 싶으실 때 들려보세요. 식재료에 대해서 정말 자부심을 가지고 손질하여 손님 분들께 대접하고 있습니다. 점심에는 시원한 물회나 덮밥, 탕으로 간단하게 식사하시고 저녁에는 저렴하고 가성비 좋은 저희 회를 드셔 보세요. 주변에서 숙박하시는 분들 회 포장도 환영합니다. 강정, 법환, 혁신도시 픽업도 가능하고요. 제주도 서귀포를 대표하는 횟집, 형아시횟집입니다. 감사합니다. 메밀애, 풍향빌리지가 인접해 있습니다."
"주소","제주 서귀포시 이어도로 778-1"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 778-1"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 779"
"대표번호","064-739-4187"
"영업시간","11:00 - 22:00"
"휴무일","전화문의"
"취급메뉴","매운탕, 회덮밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 친절해요, 가성비가 좋아요"
