"관광타입","음식점"
"음식점명","풍향가든"
"개요","제주도 서귀포에 위치한 흑돼지 맛집으로 유명한 풍향가든입니다. 탁 트인 바다 전망까지 갖춰서 데이트코스로도 많이 찾는 집. 중문단지에서 20년 전통의 터줏대감으로 현지에서도 관공서분들이 즐겨찾는 식당. 껍데기에 까만 돼지털이 박힌 진짜 흑돼지만 사용합니다. 풍향가든에 관심 가져주셔서 대단히 감사합니다. 항상 최선을 다하겠습니다. 풍향빌리지, 메밀애가 인접해 있습니다."
"주소","제주 서귀포시 이어도로 770"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 770"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 851-5"
"대표번호","0507-1471-2262"
"영업시간","10:00 - 22:00"
"휴무일","격주 수요일"
"취급메뉴","흑돼지 김치짜글이, 흑돼지 오겹살구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 재료가 신선해요, 친절해요, 양이 많아요"
