"관광타입","음식점"
"음식점명","진1926 서귀포월드컵점"
"개요","안녕하세요. 최고의 프라임 징기스칸 양고기 전문점 진1926 서귀포 월드컵점입니다. 다정한 데이트 좌석, 6인 가족석, 단체석 등 고객님들의 불편함이 없도록 다양한 공간으로 구성되어 있으며 고객님들께 최고의 양고기를 전문 스텝들이 정성스레 직접 구워 드립니다. 또한 청정 호주산 양고기와 영국말돈소금, 강원도민통선에서재배해서 함유된 고추냉이, 그 외에 프리미엄 식재료까지 모두 특별함이 가득한 곳입니다. 공중파 TV와 각종 SNS에서도 이미 검증되었으며 지역 고객님들께서도 소중한 날에 애용하는 곳으로 자리매김하고 있습니다. 찾아주시면 최선을 다하겠습니다. 감사합니다. 제주한양, 아노야가 인접해 있습니다."
"주소","제주 서귀포시 대청로25번길 10-12 1층"
"주소(도로명)","제주특별자치도 서귀포시 대청로25번길 10-12"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 207-7"
"대표번호","064-733-1926"
"영업시간","11:00/16:00 - 23:00"
"휴무일","없음"
"취급메뉴","양갈비, 양등심"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 특별한 메뉴가 있어요"
