"관광타입","음식점"
"음식점명","누구나홀딱반한닭 제주강정점"
"개요","Taste COOK. 치킨이 누구나홀딱반한닭을 만나면 요리가 된다. 맛있는 치킨 요리의 시작, 누구나홀딱반한닭에 오세요. 205도 오븐에서 구운 튀기지 않은 후라이드치킨 국내 최초 쌈닭 전문점. 많은 수식어가 있지만 가장 중요한 건 고객이 인정한 맛집이라는 것. 재방문율 90퍼센트 이상. 안 먹어본 사람은 몰라도 먹어본 사람은 누구나 홀딱반한닭만 찾는다는 사실. 누구나홀딱반한닭에서 새로운 치킨 요리를 경험하세요. Real 프랜차이즈의 시작, 평생직장을 창업하다. 빠레브호텔, 배스킨라빈스가 인접해 있습니다."
"주소","제주 서귀포시 신서로32번길 12"
"주소(도로명)","제주특별자치도 서귀포시 신서로32번길 12"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 172-3"
"대표번호","064-738-7070"
"영업시간","16:00 - 01:00"
"휴무일","없음"
"취급메뉴","후레쉬쌈닭, 쌈닭화히타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요"
