"관광타입","음식점"
"음식점명","하원가흑돼지"
"개요","하원가흑돼지 2018년 8월 15일 오픈. 레스토랑, 카페 분위기, 전 좌석 오션뷰, 한라산뷰. 최상급 제주산 흑돼지만 사용. 흑돼지 모둠세트 목살, 오겹살, 항정살, 가브리살. 두 번 구운 참숯만을 사용. 혼밥 가능. 오픈형 주방.  텃밭에서 직접 재배한 쌈채소 상추, 고추 등을 제공. 모든 반찬은 국내산 재료로 주인장이 직접 만듦. 완벽한 최신식 후드시설, 기저귀교환대 설치, 유아식탁의자, 유아 수저 구비. 투명엘리베이터, 5층 옥상전망대, 가족모임하기에 좋은 곳. 애견동반불가. 항상 최고의 맛과 서비스를 제공하기 위해 최선의 노력을 다하겠습니다. 감사합니다. 가족끼리 운영하는 식당으로 요리부터 반찬 서빙, 고기 세팅, 불판 씻기까지 모두 직접하기 때문에 손님이 너무 많을 경우, 최대한 고기 굽는 것을 봐드리려 노력하나 고기를 하나하나까지 구워서 올려드리기 어렵습니다. 이점 많은 양해 바랍니다. 약천사, 하원가펜션이 인접해 있습니다."
"주소","제주 서귀포시 이어도로 278"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 278"
"주소(지번주소)","제주특별자치도 서귀포시 하원동 1662-1"
"대표번호","064-735-9507"
"영업시간","17:00 - 21:30"
"휴무일","매주 화요일"
"취급메뉴","물냉면, 비빔냉면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 뷰가 좋아요"
