"관광타입","음식점"
"음식점명","고집돌우럭 중문점"
"개요","제주도 최초 리뷰 20000개 달성. 중문점 네이버 리뷰 10000개 달성. 네이버가 선정한 제주 맛집 TOP 10. 네이버, 카카오, 구글 리뷰 제주도 내 최다, 최고평점 4.8점. 트립어드바이저 제주 음식점 5년 연속 1위 Traveller s choice. T맵 선정 제주도 맛집 TOP 10. 식약처 인증 위생등급 우수 획득. 매장이 혼잡하여 전화 연결이 어렵습니다. 네이버 톡톡으로 문의 주시면 평균 10분 이내로 답변 드립니다. 문의 가능 시간 9시부터 18시. 12시부터 13시 제외. 중문관광단지 입구가 인접해 있습니다."
"주소","제주 서귀포시 일주서로 879"
"주소(도로명)","제주특별자치도 서귀포시 일주서로 879"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2351"
"대표번호","0507-1408-1540"
"영업시간","10:00 - 21:30"
"휴무일","없음"
"취급메뉴","우럭조림, 옥돔구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 넓어요, 매장이 청결해요"
