"관광타입","음식점"
"음식점명","중문색달통갈치 본점"
"개요","중문색달통갈치는 중문관광단지에 있는 통갈치 요리 전문점입니다. 통갈치구이와 갈치 조림, 옥돔구이, 돔베고기,황게장, 전복장, 톳밥, 들깨 미역국, 계절 반찬까지 명품 한 상이 정성껏 차려져 나옵니다. 최상급의 품질 좋은 제주 통갈치로 만들어내는 제주 갈치요리의 진수를 만나실 수 있는 중문색달통갈치 기억해주시고 많이 찾아주세요. 다이소, 아도록스테이, 국수바다가 인접해 있습니다."
"주소","제주 서귀포시 일주서로 993"
"주소(도로명)","제주특별자치도 서귀포시 일주서로 993"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2088-1"
"대표번호","064-738-2088"
"영업시간","10:30 - 21:00"
"휴무일","없음"
"취급메뉴","갈치조림 한상, 통갈치구이 한상"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 양이 많아요"
