"관광타입","음식점"
"음식점명","두리둠비"
"개요","안녕하세요. 제주 서귀포시 중문에서 매일 새벽 두부 제조 하고 있는 수제 두부 요리 전문점 두리둠비 입니다. 저희 수제 두부 요리 전문점 두리둠비는 두리두리와 둠비를 합친 두리둠비로 상호명을 정하고 2021년 9월 활기차게 오픈 하였습니다. 두리두리는 경상도와 전라도의 방언으로 두루두루라는 뜻이며 둠비는 제주방언으로 두부를 뜻하고 있습니다. 두리둠비는 두루두루 함께 모여 맛있게 두부를 먹자는 뜻으로 그렇게 지금의 두리둠비가 만들어지게 되었답니다. 매일 매일 유전자 변형이 되지 않은 콩을 깨끗이 씻고 선별해서 매일 새벽 직접 두부 제조를 하고 있으며 항상 고소하고 부드러운 두부를 만들려고 최선을 다하고 있습니다.  두리둠비를 시작하기 전 대표인 저는 해외에서 많은 음식과 문화를 경험하고 한국에 귀국 후 부모님이 계신 서귀포시에 자리를 잡고 중문관광단지에서 요식업을 하겠다는 포부를 가지고 2021년부터 제주도민이 되었습니다. 요식업을 하겠다는 다짐을 하고 어떤 음식을 손님들에게 정성껏 그리고 맛있게 제공해드릴 수 있을까 고민 끝에 제주도에 많고 많은 흑돼지 구이집이나 갈치 요리집 보단 그래도 제주를 여행하는 동안 한번쯤은 쉽게 접근 할 수 있고 친근한 음식을 해보면 어떨까 고민하던 끝에 그래 수제 두부 요리를 저만의 방법으로 한번 도전해보자 생각하게 되어 그렇게 시작을 하게 되었습니다. 두리둠비를 시작 전 대표 인 저는 대한민국에서 두부하면 강원도 초당 순두부를 보통 떠올리기에 무작정 강원도로 가서 여러 도시들을 탐방하고 여러군데의 두부집을 방문하며 많은 벤치마킹을 하면서 제가 느끼고 바라는 점 들을 하나 하나 모으기 시작했습니다. 그러던 중 저의 눈을 번쩍 뜨게 해주었던 두부를 맛 보았고 무작정 저는 두부 장인에게 그 비법을 전수 받고자 밤 낮으로 노력하고 또 노력하였습니다. 그렇게 강원도에서 몇 날 며칠을 매일 새벽 3시부터 오후 3시까지 두부를 만드는 방법 그리고 그곳만의 노하우 그리고 두부를 대하는 정성스러운 마음을 보고 느끼고 제 것으로 만들도록 최선을 다했습니다. 저희 스승님의 그 깊은 뜻대로 두부를 제 스스로 만들 수 있을 때 저는 다시 제주로 돌아왔고 스승님의 깊은 뜻과 저만의 노하우로 두리둠비만의 깊고 부드러운 두부를 만들 수 있게 되었습니다. 손님 한 분 한 분에게 정말 저만의 두부를 느끼게 해드리고 싶었고 한 끼 식사 하시는 동안 편안하고 기쁜 마음을 전달 해드리고 싶은 마음에 정말 하루하루 정성을 쏟지 않은 적이 없었습니다. 남녀노소가 다양하게 즐기실 수 있는 다양한 메뉴 그리고 조미료 대신 식재료 본연의 감칠맛과 깔끔한 맛을 내도록 하는 저희 두리둠비만의 비법으로 항상 초심을 잃지 않고 음식 하나하나에 정성을 쏟겠습니다. 당일 제조 당일 소진 원칙을 고수하며 어떠한 첨가제나 보존료를 넣지 않고 만드는 깨끗한 두부 그리고 맛있는 두부를 만들도록 최선을 다하겠습니다. 저희 수제 두부 요리 전문점 두리둠비는 제주오성, 중문 고집돌우럭, 중문 칠돈가 근처에 위치하고 있으며 항상 청결하고 깔끔한 맛으로 가족들에게 대접 한다는 마음으로 모시겠습니다. 찾아오시는 길은 서귀포시 중문관광로 16, 1층 두리둠비  제주오성과 중문 칠돈가 사이에 있으며 넓은 주차장이 완비 되어있습니다. 유아 의자,애견 동반 가능, 소형견 캐리어 지참해주세요. 짖지 않고 다른 분들 식사에 방해되지 않는 8kg 이하의 소형견만 가능합니다. 영업 시간은 매일 아침 08시부터 오후 09시, Break Time은 15시 30분부터 16시 30분 입니다. 매주 화요일 휴무 입니다. 항상 정성껏 모시겠습니다. 오다 가다 많은 발걸음 해주시면 감사하겠습니다. 칠돈가, 제주오성, 그랑빌펜션, 휴아로마 스킨케어, 제주푸드트립이 인접해 있습니다."
"주소","제주 서귀포시 중문관광로 16 1층"
"주소(도로명)","제주특별자치도 서귀포시 중문관광로 16"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2518-1"
"대표번호","0507-1392-8380"
"영업시간","08:00 - 21:00"
"휴무일","매주 화요일"
"취급메뉴","두리둠비 순두부, 제주흑돼지순두부찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 양이 많아요"
