"관광타입","음식점"
"음식점명","달페이지"
"개요","식약청 인증 음식점 위생 등급 매우 우수 업체입니다. 합리적인 가격에 푸짐한 브런치를 음료와 함께 편안하고 따뜻한 분위기 속에 여유있게 드실 수 있는 제주도 서귀포의 핫플레이스입니다. 네이버 예약 및 전화로 사전 예약하시면 우선적으로 제공해 드립니다. 화이트와 원목의 조화를 이룬 인테리어를 바탕으로 테마가 있는 3가지 형태의 창문에서 추억의 사진을 찍으실 수 있습니다. 브런치 카페로 식사 위주로 영업합니다. 일반카페처럼 장시간 노트북 이용 및 공부하실 분은 출입하실 수 없습니다. 애완동물 출입 및 외부 음식은 반입 금지입니다. 빌라비 하우스 펜션, 한라빌이 인접해 있습니다."
"주소","제주 서귀포시 색달로64번길 51 1층"
"주소(도로명)","제주특별자치도 서귀포시 색달로64번길 51"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2290-2"
"대표번호","0507-1372-8918"
"영업시간","09:30 - 15:00"
"휴무일","매주 수요일"
"취급메뉴","달 브런치, 달 샌드위치"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 매장이 청결해요, 친절해요, 재료가 신선해요"
