"관광타입","음식점"
"음식점명","본가 호텔더본제주점"
"개요","금액 인상 안내, 원자재 금액 상승으로 불가피하게 2022년 9월 01일부터 판매 금액 인상되었습니다. 판매종료 안내, 흑돼지 오겹살 판매종료 했습니다. 흑돼지 오겹살 드실 분들은 다다익고 호텔더본 이용해주시면 감사하겠습니다. 대기 명단 작성 안내, 테이블링 사용 중입니다. 대기 1팀에 4인까지 가능, 4인 이상일 경우 2개 이상 등록 부탁드립니다. 조기마감 안내, 매장 사정상 조기마감 될 수 있습니다. 매장 방문 전 전화 문의하시면 감사하겠습니다. 다이소, 호텔더본이 인접해 있습니다."
"주소","제주 서귀포시 색달로 18 지하1층"
"주소(도로명)","제주특별자치도 서귀포시 색달로 18"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2138"
"대표번호","064-766-8977"
"영업시간","11:30 - 22:00"
"휴무일","없음"
"취급메뉴","전복고사리 돌솥비빔밥, 등심추리"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 재료가 신선해요, 친절해요, 매장이 넓어요"
