"관광타입","음식점"
"음식점명","다다익고 정육점식당 호텔더본점"
"개요","숯불구이 전문. 넓은 매장의 쾌적한 분위기 속에서 숯불향 가득한 제주 흑돼지를 즐겨보세요. 제주도에서 신선하고 맛있는 흑 암돼지를 보다 저렴하게 다다익고 정육점에서 저렴하게 구입하고 셀프바를 마음껏 이용하시고 즐기실 수 있도록 만든 다다익고 입니다. 제주 흑돼지의 다양한 고기를 숯불향 가득하게 즐길 수 있습니다. 호텔더본, 다다익고 정육점식당이 인접해 있습니다."
"주소","제주 서귀포시 색달로 25 1층 1호"
"주소(도로명)","제주특별자치도 서귀포시 색달로 25"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2137-6"
"대표번호","0507-1330-7050"
"영업시간","11:30 - 22:00"
"휴무일","없음"
"취급메뉴","열무냉국수, 부대찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 매장이 청결해요, 친절해요"
