"관광타입","음식점"
"음식점명","제주신라호텔 천지"
"개요","제주 신라호텔 내에 있는 한식당입니다. 코스 메뉴로 구성된 다양한 가격대의 메뉴를 만날 수 있는데요. 기본적으로 제주도 해산물을 재료로 만드는 제주도 향토 요리가 준비되어 있기는 하지만, 철에 따라 특별 코스 요리가 추가되기도 하므로 방문하시기 전에 홈페이지에서 메뉴를 확인하는 편이 좋습니다. 제주 신라호텔, 제2더파크뷰가 인접해 있습니다."
"주소","제주 서귀포시 중문관광로72번길 75 3층"
"주소(도로명)","제주특별자치도 서귀포시 중문관광로72번길 75"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 3039-3"
"대표번호","064-735-5342"
"영업시간","17:30 - 22:00"
"휴무일","없음"
"취급메뉴","유채꿀 석쇠불고기, 자연송이 맑은 탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 뷰가 좋아요, 재료가 신선해요, 인테리어가 멋져요"
