"관광타입","음식점"
"음식점명","맛있수다 중문본점"
"개요","일몰 시각 4시에서 6시에 오시면 2층에서 정말 멋진 일몰 사진을 찍을 수 있습니다. 구름 계단에서 일몰과 함께 사진 찍고 식사하시길 추천드립니다. 인생 사진 꼭 찍고 가세요. 야외 테이블에선 반려견 동반 입장가능합니다. 비가 오거나 날씨 문제로 야외테이블 이용 못하실 수도 있습니다. 지금까지 먹어보지 못한 제주 흑돼지를 제공하겠습니다. 중문권내 픽업도 가능하니 전화주세요. 2층은 무인카페와 이쁜 천국 계단, 포토존이 마련되어 있으니 참고 부탁드립니다. 플로우스, GS25가 인접해 있습니다."
"주소","제주 서귀포시 예래로 50 맛있수다"
"주소(도로명)","제주특별자치도 서귀포시 예래로 50"
"주소(지번주소)","제주특별자치도 서귀포시 상예동 576-1"
"대표번호","0507-1368-9898"
"영업시간","11:30 - 22:30"
"휴무일","없음"
"취급메뉴","흑돼지특촉촉오겹살, 돼지생갈비"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 친절해요, 주차하기 편해요, 재료가 신선해요"
