"관광타입","음식점"
"음식점명","중문그때그집"
"개요","대장이 직접 운영하고 있는 중문그때그집입니다. 중문그때그집은 큰 도로변에 있습니다. 렌터카 네비는 골목길로 안내하는 경우가 많이 있으니, 가급적 핸드폰 네비 사용을 권장 드립니다. 중문 시내에서 차로 5분, 네비게이션은 15분을 말하네요. 비보호 좌회전 시 5분입니다. 제주그때그집은 색달점 ,애월 ,함덕, 세화, 한림, 시청, 공항, 노형, 산방산, 중문, 판포, 서울에 있는 제주흑돼지집 갈현점까지 총 12군데 직영점으로 운영되고 있는 흑돼지 숙성 구이 전문점입니다. 바다가 보이고 한라산이 가까운 색달해수욕장 맛 집 입니다. 흑돼지목살, 흑돼지오겹살, 무한리필 흑돼지김치찌개, 식혜, 냉면, 옛날도시락, 계란찜, 고사리 등등 다양하게 준비된 연예인 맛 집 입니다. 제주도 최고의 휴양지 서귀포 관광 단지 중문동, 색달동, 예래동, 상예동 애견과 함께 식사할 수 있는 애견 동반석 구비, 혼자 여행오시는 분 들을 위한 혼밥 가능 제주도 서귀포 중문 흑돼지 맛집입니다. 저희 중문그때그집은 숙성 흑돼지의 풍미를 살리기 위해서 최상급 숙성고를 사용하고 있습니다. 넉넉한 주차 공간 등을 완비한 300여 평의 대형 규모입니다. 항상 고객님들의 만족스러운 식사를 제공할 수 있도록 노력하겠습니다. 감사합니다.  참숯불구이 전문점, 단체 모임, 단체 식당, 단체 예약, 가족 모임, 대형 버스 주차가 가능한 중문 그때 그집은 매월 수요일 휴무입니다. GS 칼텍스, 에코라운지가 인접해 있습니다."
"주소","제주 서귀포시 상예로 181-28"
"주소(도로명)","제주특별자치도 서귀포시 상예로 181-28"
"주소(지번주소)","제주특별자치도 서귀포시 상예동 1714-1"
"대표번호","064-784-9244"
"영업시간","09:30 - 22:00"
"휴무일","매주 수요일"
"취급메뉴","흑돼지 김치찌개, 숙성숯불 흑돼지"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 재료가 신선해요, 인테리어가 멋져요"
