"관광타입","음식점"
"음식점명","난드르바당"
"개요","난드르는는 이 마을의 지명으로 난드르바당의 최상급 고기와 숯을 담당하는 남자 사장님께서 태어나고 자란 따뜻한 고향입니다. 주변 여행지로는 360도 뷰 포인트 군산오름과 바다와 맞닿은 절벽 박수기정이 있으며 올레 8코스 논짓물까지 이어진 산책로가 매우 아름답습니다. 예쁜 마을 난드르에서 행복한 시간 되시길 바랍니다. 예약은 안 되고 원격 줄서기 앱 테이블링을 다운받고 010 9840 0788로 대기 번호와 오실 시간 문자 주시면 메모해둡니다. 산방산, 군산오름이 인접해 있습니다."
"주소","제주 서귀포시 하예하동로16번길 11-1"
"주소(도로명)","제주특별자치도 서귀포시 하예하동로16번길 11-1"
"주소(지번주소)","제주특별자치도 서귀포시 하예동 1798-4"
"대표번호","064-739-0053"
"영업시간","12:00 - 22:00"
"휴무일","매주 목요일"
"취급메뉴","제주산 흑돼지, 된장찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 주차하기 편해요, 재료가 신선해요"
