"관광타입","음식점"
"음식점명","미영이네식당"
"개요","모슬포항 앞에 위치한 고등어회, 방어 회, 여름에는 물회를 많이 드시러 오는 소박하지만 손맛 좋은 식당입니다. 특히 고등어회는 미영이네에서만 맛볼 수 있는 특제 야채 양념장과 고등어회 그리고 원초가 좋은 김과 함께 드시면 그 맛에 많은 분들이 반하시고 또 고등어회를 드시고 난 후 나오는 고등어탕때문에 고등어회를 드시는 분들도 계시답니다. 친절하고 손맛 좋은 사장님이 맛있고 싱싱한 고등어회와 방어회 그리고 각종 계절음식들을 선보이고 있으니 많이 와주세요. 만선 식당, 대명 수산이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 하모항구로 42"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 하모항구로 42"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 770-29"
"대표번호","064-792-0077"
"영업시간","11:30 - 22:00"
"휴무일","매주 수요일"
"취급메뉴","고등어회, 방어회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요"
