"관광타입","음식점"
"음식점명","제2덕승"
"개요","덕승식당에 계셨던 어머님께서 제 2덕승 직접 요리하십니다. 덕승식당의 손맛을 이제는 제 2덕승에서 만나보세요. 모슬포항에 위치하고 있는 덕승식당이 큰 인기를 얻으며 식당이 좁아 이용하시기 불편하신 손님들을 위해 가까운 곳에 확장 이전 하였습니다. 한결같은 손맛의 갈치 조림과 다양한 향토 음식 여행객 분들이 사랑하는 갈치 조림과 성게 미역국, 제주 지역 분들이 사랑하는 객주리조림과 갈치국 등 모두의 입맛을 사로잡는 한결같은 손맛의 덕승식당, 제2덕승입니다. 가파도수산, 동현이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 최남단해안로30번길 4"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 최남단해안로30번길 4"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 2126-10"
"대표번호","0507-1369-2521"
"영업시간","08:00 - 21:00"
"휴무일","매주 수요일"
"취급메뉴","갈치조림, 객주리조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 재료가 신선해요, 친절해요, 주차하기 편해요"
